title,author,duration_hours,file_size_mb
"A Spindle Splintered","Alix Harrow",3.33911,182.004341125488
"A Spontaneous Order","Chase Rachels",15.12215,412.044713973999
"A Stolen Life","Jaycee Lee Dugard",7.47837,205.436763763428
"A Stone Is Most Precious Where It Belongs","Gulchehra Hoja",8.76217333333333,250.903693199158
"A Storm of Swords","George R. R. Martin",47.5484919444444,337.642549514771
"A Synthesizing Mind","Howard Gardner",7.47230472222222,232.712564468384
"A Tale for the Time Being","Ruth L. Ozeki",14.804475,510.416346549988
"A Tale of Two Cities","Charles Dickens",14.0281394444444,385.500861167908
"A Taste for Poison","Neil Bradbury",7.25495972222222,199.263659477234
"A Taste of Power","Elaine Brown",17.2466744444444,939.80135345459
"A Tempest of Tea","Hafsah Faizal",11.0428066666667,303.33521938324
"A Terrible Country","Keith Gessen",11.5526113888889,314.792239189148
"A Terrible Thing to Waste","Harriet A. Washington",10.2260530555556,436.706455230713
"A Thousand Ships","Natalie Haynes",8.59681083333333,236.355998039246
"A Thousand Steps into Night","Traci Chee",11.8527061111111,645.849744796753
"A Time of Madness","Salman Rashid",4.28482972222222,116.906072616577
"A Torch Against the Night","Sabaa Tahir",15.1639727777778,452.514035224915
"A Tramp Abroad","Mark Twain",14.2055038888889,387.094910621643
"A Traveler's Guide to the Stars","Les Johnson",6.52947722222222,181.310732841492
"A Very Easy Death","Simone de Beauvoir",3.07964944444444,84.0256567001343
"A Village in the Third Reich","Julia Boyd",11.8912352777778,333.789929389954
"A Visible Man","Edward Enninful",7.71969972222222,420.655788421631
"A Voyage to Arcturus","David Lindsay",11.1652311111111,608.823514938354
"A Waiter in Paris","Edward Chisholm",12.8123144444444,711.501667022705
"A Wanted Man","Lee Child",14.2063980555556,195.136202812195
"A War Made in Russia","Sergei Medvedev",5.69435222222222,278.163297653198
"A Weekend with Pablo Picasso","Matthew Wolf",1.36885444444444,37.6036100387573
"A Wind from the Rift","Bonnie Wynne",26.8339594444444,1463.49679946899
"A Winter's Promise","Christelle Dabos",29.3481288888889,1672.47516536713
"A Wish Upon the Stars","TJ Klune",18.4659463888889,503.096603393555
"A Witch in Time","Constance Sayers",15.0616961111111,485.586219787598
"A Witch's Guide to Fake Dating a Demon","Sarah Hawley",11.1324588888889,312.422307014465
"A Wizard of Earthsea","Ursula K. Le Guin",7.00166777777778,190.795217514038
"A Woman's Place Is in the Brewhouse","Tara Nurin",10.34806,467.264000892639
"A World Without Email","Cal Newport",9.27754583333333,505.588972091675
"A Year Without a Name","Cyrus Grace Dunham",4.64142638888889,128.498627662659
"ADHD & Us","Anita Robertson , LCSW",4.2159375,229.872289657593
"ADHD for Smart Ass Women","Tracy Otsuka",7.56490166666667,217.063203811646
"AI Superpowers","Kai-Fu Lee",9.47363861111111,306.167681694031
"Abaddon's Gate","James S. A. Corey",18.4412622222222,502.470624923706
Abarat,"Clive Barker",11.4777913888889,313.007044792175
"Abolish Silicon Valley","Wendy Liu",7.79613861111111,212.478283882141
"Abolish the Monarchy","Graham Smith",8.04704388888889,440.265590667725
"Abolition Democracy","Angela Y. Davis",4.51005694444444,250.821009635925
"Abolition. Feminism. Now.","Angela Y. Davis",5.05420388888889,275.4334897995
Abomination,"Ashley Goldberg",8.36761555555555,229.885340690613
"Abortion and the Law in America","Mary Ziegler",11.7272780555556,639.983868598938
"About Time","David Rooney",9.9826,544.240140914917
"Abroad in Japan","Chris Broad",8.14773333333333,444.518621444702
"Absolution Gap","Alastair Reynolds",27.1783377777778,740.513868331909
"Abuelita Faith","Kat Armas",6.74791888888889,367.742672920227
Abundance,"Ezra Klein",7.24380361111111,394.752321243286
"Abyssal Archive",Lokey,19.0201647222222,1036.92133712769
"Academ's Fury","Jim Butcher",19.9203191666667,614.392700195313
Ace,"Angela Chen",7.72656333333333,270.349484443665
"Ace of Spades","Faridah Abike-Iyimide",13.8231558333333,394.103544235229
"Aces Abroad","George R. R. Martin",23.6428480555556,698.71816444397
"Acid Dreams","Martin A. Lee",14.7509922222222,402.338842391968
"Acid Test","Tom Shroder",14.2328444444444,389.63550567627
"Across the Nightingale Floor","Lian Hearn",8.42281805555556,232.67697429657
"Ada, or Ardor","Vladimir Nabokov",20.7673080555556,566.614680290222
"Addiction, Attachment, Trauma, and Recovery","Oliver Morgan",10.7841597222222,587.669134140015
"Administrations of Lunacy","Mab Segrest",15.2370113888889,846.030534744263
